,stage,model_name,True Positive (TP),True Negative (TN),False Positive (FP),False Negative (FN),recall-sensitivity,specificity,precision-ppv,accuracy,F1_score
0,Train,NN4L_rev0_overall,224,515,34,118,0.6549707602339181,0.9380692167577414,0.8682170542635659,0.8294051627384961,0.7466666666666667
0,Train,NN4L_rev0_overall,51,130,9,19,0.7285714285714285,0.935251798561151,0.85,0.8660287081339713,0.7846153846153846
0,Train,NN4L_rev0_overall,65,119,8,16,0.8024691358024691,0.937007874015748,0.8904109589041096,0.8846153846153846,0.8441558441558441
0,Train,Support Vector Machines,239,506,43,103,0.6988304093567251,0.9216757741347905,0.8475177304964538,0.8361391694725028,0.7660256410256411
0,Train,KNN,286,485,64,56,0.8362573099415205,0.8834244080145719,0.8171428571428572,0.8653198653198653,0.8265895953757225
0,Train,Logistic Regression,243,501,48,99,0.7105263157894737,0.912568306010929,0.8350515463917526,0.835016835016835,0.7677725118483413
0,Train,Random Forest,314,542,7,28,0.9181286549707602,0.9872495446265938,0.9781931464174455,0.9607182940516273,0.947209653092006
0,Train,Gaussian Naive Bayes,239,476,73,103,0.6988304093567251,0.8670309653916212,0.7660256410256411,0.8024691358024691,0.7308868501529052
0,Train,Perceptron,244,469,80,98,0.7134502923976608,0.8542805100182149,0.7530864197530864,0.8002244668911336,0.7327327327327328
0,Train,Stochastic Gradient Decent,249,456,93,93,0.7280701754385965,0.8306010928961749,0.7280701754385965,0.7912457912457912,0.7280701754385965
0,Train,Decision Tree,312,544,5,30,0.9122807017543859,0.9908925318761385,0.9842271293375394,0.9607182940516273,0.9468892261001517
0,Test,Support Vector Machines,61,129,10,9,0.8714285714285714,0.9280575539568345,0.8591549295774648,0.9090909090909091,0.8652482269503546
0,Test,KNN,52,118,21,18,0.7428571428571429,0.8489208633093526,0.7123287671232876,0.8133971291866029,0.7272727272727273
0,Test,Logistic Regression,61,129,10,9,0.8714285714285714,0.9280575539568345,0.8591549295774648,0.9090909090909091,0.8652482269503546
0,Test,Random Forest,47,120,19,23,0.6714285714285714,0.8633093525179856,0.7121212121212122,0.7990430622009569,0.6911764705882353
0,Test,Gaussian Naive Bayes,46,120,19,24,0.6571428571428571,0.8633093525179856,0.7076923076923077,0.7942583732057417,0.6814814814814815
0,Test,Perceptron,52,111,28,18,0.7428571428571429,0.7985611510791367,0.65,0.7799043062200957,0.6933333333333334
0,Test,Stochastic Gradient Decent,63,112,27,7,0.9,0.8057553956834532,0.7,0.8373205741626795,0.7875
0,Test,Decision Tree,48,93,46,22,0.6857142857142857,0.6690647482014388,0.5106382978723404,0.6746411483253588,0.5853658536585366
0,Validation,Support Vector Machines,65,119,8,16,0.8024691358024691,0.937007874015748,0.8904109589041096,0.8846153846153846,0.8441558441558441
0,Validation,KNN,65,111,16,16,0.8024691358024691,0.8740157480314961,0.8024691358024691,0.8461538461538461,0.8024691358024691
0,Validation,Logistic Regression,65,119,8,16,0.8024691358024691,0.937007874015748,0.8904109589041096,0.8846153846153846,0.8441558441558441
0,Validation,Random Forest,62,117,10,19,0.7654320987654321,0.9212598425196851,0.8611111111111112,0.8605769230769231,0.8104575163398693
0,Validation,Gaussian Naive Bayes,56,114,13,25,0.691358024691358,0.8976377952755905,0.8115942028985508,0.8173076923076923,0.7466666666666667
0,Validation,Perceptron,59,106,21,22,0.7283950617283951,0.8346456692913385,0.7375,0.7932692307692307,0.7329192546583851
0,Validation,Stochastic Gradient Decent,72,112,15,9,0.8888888888888888,0.8818897637795275,0.8275862068965517,0.8846153846153846,0.8571428571428571
0,Validation,Decision Tree,59,112,15,22,0.7283950617283951,0.8818897637795275,0.7972972972972973,0.8221153846153846,0.7612903225806451
